Step:,1,2,3,4,5,6,7,8,
X-moves
1,3.0742,4.4376,6.4518,1.6378,3.0348,3.3496,6.2382,28.224,
2,5.0987,8.5445,13.4437,3.5603,4.5502,4.9302,13.786,53.9136,
3,7.2373,12.2078,20.8237,6.0646,7.3566,8.811,23.8758,86.3768,
4,8.3148,14.3748,25.7702,7.4931,8.7557,10.551,29.319,104.5786,
5,9.2675,16.374,29.7519,8.567,9.6634,11.804,32.7858,118.2136,
6,9.9143,17.8078,32.0924,8.9222,9.9933,12.177,34.282,125.189,
7,10.3627,18.867,33.5537,9.0134,10.1024,12.4032,34.767,129.0694,
8,10.8593,19.527,34.5419,9.1514,10.217,12.4276,34.755,131.4792,
9,11.2216,20.2468,35.2569,9.2287,10.1994,12.447,35.0386,133.639,
10,11.3675,20.7667,35.6847,9.2586,10.0859,12.5362,35.3748,135.0744,
11,11.5842,21.114,35.9424,9.1797,10.0889,12.53,35.2656,135.7048,
12,11.7914,21.4157,36.0893,9.2439,10.2825,12.4856,35.2922,136.6006,
13,11.8384,21.6762,36.1799,9.1745,10.2238,12.5946,35.1216,136.809,
14,11.9025,21.8569,36.2105,9.2468,10.1999,12.5168,35.236,137.1694,
15,12.0062,21.9293,36.2476,9.1193,10.2346,12.4458,35.1756,137.1584,
16,12.1938,22.1601,36.2966,9.2371,10.2472,12.4688,35.1986,137.8022,
17,12.0826,22.1498,36.2562,9.1558,10.248,12.6164,35.4492,137.958,
18,12.1857,22.1896,36.2223,9.2467,10.1951,12.5758,35.3744,137.9896,
19,12.2343,22.3137,36.2775,9.2098,10.3279,12.581,35.2908,138.235,
20,12.267,22.43,36.2988,9.2521,10.3427,12.4942,35.148,138.2328,
21,12.2699,22.5144,36.3433,9.2136,10.3584,12.569,35.1746,138.4432,
22,12.2639,22.5369,36.3198,9.2976,10.271,12.6028,35.2874,138.5794,
23,12.2711,22.5364,36.4039,9.1591,10.2233,12.3852,35.3536,138.3326,
24,12.3008,22.631,36.2199,9.2894,10.2771,12.5354,35.2868,138.5404,
25,12.3046,22.5851,36.2365,9.2197,10.2499,12.5948,35.2552,138.4458,
26,12.3309,22.6882,36.3728,9.2784,10.1599,12.4344,34.9702,138.2348,
27,12.302,22.6342,36.2734,9.2297,10.2463,12.5656,35.2634,138.5146,
28,12.3144,22.6668,36.4309,9.2416,10.2591,12.4972,35.2088,138.6188,
29,12.2899,22.6521,36.5032,9.3148,10.2496,12.4052,35.199,138.6138,
30,12.2428,22.6403,36.2639,9.1847,10.2073,12.6614,35.0958,138.2962,
31,12.3155,22.6063,36.3366,9.1887,10.2685,12.4852,35.1362,138.337,
32,12.3113,22.6042,36.4125,9.2701,10.2301,12.515,35.3372,138.6804,
33,12.2929,22.6834,36.3639,9.2915,10.2225,12.4878,35.219,138.561,
34,12.3602,22.6924,36.3719,9.2093,10.3548,12.4982,35.1968,138.6836,
35,12.2914,22.6879,36.1686,9.2574,10.2627,12.534,35.2264,138.4284,
36,12.2172,22.6503,36.4363,9.3377,10.1773,12.462,35.1016,138.3824,
37,12.3061,22.6867,36.44,9.1608,10.204,12.454,35.2472,138.4988,
38,12.3027,22.6981,36.3169,9.1999,10.1368,12.5994,35.2162,138.47,
39,12.3528,22.7342,36.2439,9.2169,10.2164,12.4374,35.3266,138.5282,
40,12.2669,22.6852,36.3422,9.232,10.3089,12.5818,35.1014,138.5184,
