Step:,1,2,3,4,5,6,7,8,
X-moves
1,3.079319,6.904321,1.330992,2.66222,13.976852,0.0,0.0,13.976852,
2,5.197489,15.981266,3.998648,6.022787,31.20019,0.0,0.0,31.20019,
3,7.019895,23.917427,6.527249,9.832423,47.296993,0.0,0.0,47.296993,
4,8.310582,29.996,8.169124,12.361434,58.83714,0.0,0.0,58.83714,
5,9.193009,34.325855,9.081361,13.689604,66.28983,0.0,0.0,66.28983,
6,9.860863,37.11959,9.539422,14.314755,70.83463,0.0,0.0,70.83463,
7,10.414782,38.980072,9.774137,14.585243,73.75424,0.0,0.0,73.75424,
8,10.84568,40.140915,9.874999,14.705157,75.56675,0.0,0.0,75.56675,
9,11.16415,40.88643,9.933253,14.753818,76.73765,0.0,0.0,76.73765,
10,11.41112,41.402092,9.965179,14.78165,77.56004,0.0,0.0,77.56004,
11,11.607948,41.728405,9.97872,14.79471,78.10979,0.0,0.0,78.10979,
12,11.758084,41.942383,9.987699,14.797707,78.48587,0.0,0.0,78.48587,
13,11.880918,42.1069,10.001378,14.79896,78.78816,0.0,0.0,78.78816,
14,11.975719,42.201817,10.006324,14.801086,78.98495,0.0,0.0,78.98495,
15,12.047823,42.285248,10.002279,14.797735,79.13309,0.0,0.0,79.13309,
16,12.107464,42.341255,10.010532,14.80336,79.26262,0.0,0.0,79.26262,
17,12.14802,42.401352,10.008569,14.803329,79.361275,0.0,0.0,79.361275,
18,12.180203,42.426422,10.021215,14.805979,79.433815,0.0,0.0,79.433815,
19,12.205764,42.440857,10.01687,14.801025,79.464516,0.0,0.0,79.464516,
20,12.221345,42.48024,10.015926,14.804674,79.52219,0.0,0.0,79.52219,
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
